,curr_longitude,prev_latitude,curr_latitude,prev_longitude
316,4.938869,52.346477,52.377203,4.9082609999999995
84,4.92671,52.34071,52.375576,4.90273
4,4.939141,52.37535,52.363758,4.92933
35,4.936796,52.350568,52.374031,4.904651
427,4.953442,52.342531,52.369162,4.895128
4,4.92838,52.363758,52.37589,4.939141
294,4.953055,52.35827,52.368771,4.89119
23,4.9392700000000005,52.368715,52.367883,4.953414
32,4.935289,52.37398,52.374258,4.9366900000000005
423,4.9392759999999996,52.36913,52.368827,4.9534
347,4.940279,52.36238,52.368078,4.931888
79,4.946995,52.35212,52.371747,4.89556
350,4.942827,52.36803,52.368285,4.94053
185,4.939175,52.3538,52.361677,4.88965
281,4.941501,52.36873,52.372902,4.95319
202,4.939275,52.35393,52.367407,4.90388
422,4.938975,52.35826,52.36373,4.90186
123,4.939292,52.34795,52.367434,4.9087
438,4.9291,52.37499,52.37393,4.92928
185,4.950469,52.373861,52.369312,4.938217
296,4.935978,52.35246,52.363127,4.89125
145,4.93771,52.35157,52.376467,4.899222
187,4.9467859999999995,52.36919,52.368777,4.95043
33,4.99054,52.37372,52.35729,4.9381900000000005
137,4.96424,52.34451,52.37367,4.895023
207,4.966947,52.36871,52.373833,4.95118
60,4.964264,52.351711,52.37339,4.897756
219,4.995112,52.36266,52.355543,4.97989
95,4.990682,52.36374,52.357359,4.93354
47,4.990671,52.348161,52.357937,5.012156
331,4.9907319999999995,52.35519,52.357898,4.99555
21,4.90994,52.37953,52.3778,4.9229
39,4.90672,52.37417,52.37809,4.93539
61,4.9021,52.356783,52.36672,4.883991
64,4.89868,52.34201,52.36536,4.90682
135,4.9078,52.34375,52.37245,4.9086
162,4.90324,52.388403,52.36377,4.840124
165,4.91573,52.37629,52.3682,4.92218
183,4.91177,52.368777,52.3667,4.9467859999999995
188,4.90567,52.352868,52.36019,4.894918
196,4.90078,52.373813,52.37024,4.966879
215,4.90304,52.344918,52.3735,4.910823
218,4.9044,52.35674,52.37418,4.89633
248,4.9077,52.34721,52.37165,4.90202
257,4.91361,52.37649,52.3656,4.92137
304,4.90175,52.3554,52.371837,4.89523
314,4.9042200000000005,52.34621,52.36489,4.89466
378,4.91626,52.347422,52.37149,4.91122
387,4.89364,52.352154,52.36508,4.847679
414,4.89849,52.34338,52.36539,4.90758
417,4.91158,52.34133,52.36611,4.9047600000000005
425,4.90993,52.356114,52.36309,4.89217
434,4.9122900000000005,52.36373,52.36196,4.938975
168,4.917864,52.35586,52.367628,4.8979
279,4.904703,52.340665,52.374313,4.903936
414,4.902915,52.34869,52.375075,4.90333
440,4.897368,52.3419,52.36708,4.90899
147,4.906915,52.357473,52.360908,4.898528
385,4.89697,52.35218,52.36912,4.8753
313,4.903058,52.371837,52.363806,4.90175
412,4.922895,52.3554,52.366827,4.89003
389,4.9265,52.38629,52.366882,4.92739
55,4.906293,52.3593,52.373546,4.88764
455,4.922214,52.36712,52.368952,4.89736
455,4.903636,52.3689,52.374409,4.92221
227,4.887073,52.3735,52.361449,4.90304
396,4.906577,52.40399,52.376042,4.88863
136,4.903638,52.37246,52.368731,4.90779
326,4.908223,52.341459,52.375542,4.902813
137,4.908037,52.368731,52.371534,4.903638
220,4.906823,52.36369,52.363638,4.93538
159,4.915698,52.342834,52.368295,4.907506
34,4.924502,52.35729,52.366889,4.99054
210,4.9116800000000005,52.36935,52.371188,4.9278
155,4.898641,52.35237,52.36545,4.85058
324,4.8889,52.35525,52.366854,4.88849
158,4.905566,52.35869,52.360378,4.888942
272,4.903688,52.34149,52.374842,4.90385
355,4.885096,52.35702,52.364588,4.896908
297,4.906392,52.34363,52.371698,4.91264
10,4.911488,52.35606,52.361995,4.8929
205,4.9246479999999995,52.371340000000004,52.367813,4.91165
277,4.908206,52.34646,52.375533,4.89089
363,4.886678,52.346168,52.363902,4.866866
74,4.8890270000000005,52.34904,52.364836,4.8797
62,4.897124,52.36678,52.368292,4.90217
410,4.9082159999999995,52.36663,52.361501,4.92264
0,4.88875,52.3485,52.36493,4.910242
282,4.892146,52.34695,52.361977,4.90815
419,4.906817,52.343132,52.360944,4.894168
76,4.887291,52.37165,52.368021,4.94708
452,4.910554,52.374349,52.363658,4.903553
225,4.892069,52.374131,52.362034,4.904435
31,4.919447,52.37426,52.36332,4.93533
354,4.918978,52.3701,52.367258,4.8992700000000005
193,4.8968609999999995,52.36671,52.367697,4.9118200000000005
60,4.892529,52.36823,52.363675,4.89749
352,4.896039,52.37652,52.363801,4.92109
381,4.887382,52.388302,52.362914,4.84013
51,4.8887339999999995,52.368648,52.366676,4.903658
311,4.896085,52.35299,52.363813,4.89218
385,4.901959,52.34792,52.366038,4.88025
371,4.88675,52.352242,52.361304,4.891432
407,4.891505,52.36614,52.360091,4.91159
405,4.888357,52.36539,52.366984,4.89849
45,4.90086,52.388501,52.37305,4.840143
379,4.900503,52.362325,52.371731,4.931866
356,4.911894,52.33859,52.370305,4.90195
197,4.910471,52.37024,52.363566,4.90078
279,4.886343,52.36669,52.363758,4.8886
188,4.8891089999999995,52.36014,52.364757,4.9057
264,4.9030819999999995,52.374842,52.363536,4.903688
381,4.902562,52.37599,52.372051,4.90655
91,4.895843,52.34927,52.36722,4.90381
254,4.910151,52.3743,52.371696,4.90462
90,4.88514,52.34463,52.364487,4.89204
321,4.900434,52.356212,52.371874,4.890409
58,4.901251,52.36331,52.374128,4.90625
421,4.902351,52.36882,52.365433,4.9392
129,4.906322,52.3679,52.361576,4.92676
372,4.907096,52.37149,52.37588,4.91624
101,4.891734,52.34267,52.366893,4.84332
295,4.8897639999999996,52.358294,52.365703,4.901926
186,4.886732,52.36479,52.365541,4.88887
135,4.883587,52.36149,52.366243,4.90607
358,4.901528,52.34583,52.373463,4.9043
170,4.891283,52.34581,52.360012,4.88921
433,4.89272,52.361947,52.36687,4.912277
369,4.904232,52.3461,52.372873,4.90948
234,4.907137,52.35285,52.361179,4.84858
105,4.89992,52.36324,52.371976,4.9106000000000005
187,4.901798,52.34688,52.3744,4.91089
59,4.895408,52.374128,52.367064,4.901251
296,4.895488,52.37182,52.367072,4.90641
370,4.900017,52.34827,52.372048,4.86879
215,4.887941,52.361553,52.360413,4.8870439999999995
70,4.907725,52.36472,52.368925,4.88873
425,4.891891,52.35748,52.366719,4.89282
49,4.886652,52.36655,52.360905,4.88851
144,4.9062909999999995,52.38786,52.364448,4.83708
228,4.895493,52.34307,52.367048,4.900237
54,4.886653,52.37342,52.361268,4.9643
50,4.886356,52.3532,52.361458999999996,4.90255
120,4.9054780000000004,52.385437,52.378598,4.918819
128,4.91538,52.354757,52.370032,4.886037
120,4.906798,52.378598,52.378107,4.9054780000000004
4,4.9285,52.375987,52.368852,4.928333
439,4.9290400000000005,52.37519,52.37325,4.92926
383,4.901859,52.3496,52.37424,4.84636
317,4.929277,52.36631,52.370154,4.88892
353,4.887443,52.35821,52.363323,4.90185
15,4.907752,52.35209,52.371789,4.8993400000000005
437,4.906623,52.36689,52.376038,4.89271
93,4.856978,52.35728,52.379128,4.89967
155,4.856753,52.36027,52.379223,4.90555
312,4.855359,52.35229,52.381849,4.8513
367,4.84724,52.35787,52.37849,4.87553
105,4.855522,52.353432,52.380305,4.848635
171,4.8528459999999995,52.36377,52.381688,4.90324
66,4.855602,52.36533,52.379958,4.89858
417,4.85821,52.37186,52.377088,4.90039
393,4.850758,52.36131,52.382976,4.88699
8,4.84799,52.38159,52.384735,4.85311
8,4.857474,52.38482,52.379296,4.84801
381,4.850369,52.38841,52.378709,4.840081
66,4.846848,52.356909,52.377863,4.888788
326,4.857428,52.38799,52.37941,4.83731
332,4.84846,52.37927,52.383169,4.857530000000001
71,4.84569,52.38811,52.38505,4.83744
421,4.855868,52.34614,52.384118,4.90489
61,4.860306,52.363747,52.374912,4.892581
403,4.850234,52.363098,52.379043,4.8874379999999995
285,4.847797,52.36205,52.384427,4.89213
437,4.854509,52.38846,52.379943,4.84009
404,4.855404,52.37859,52.382556,4.8504000000000005
414,4.862462,52.379947,52.375297,4.854551
206,4.862388,52.370568,52.375235,4.8984000000000005
400,4.857955,52.349902,52.374759,4.872469
272,4.847069,52.38826,52.378253,4.83722
66,4.846635,52.35005,52.377938,4.89649
23,4.85488,52.367883,52.37433,4.9392700000000005
317,4.847025,52.35622,52.384601,4.87514
32,4.87431,52.38845,52.386343,4.840075
65,4.8732,52.35151,52.37463,4.860580000000001
81,4.87484,52.37558,52.37761,4.9267
88,4.874343,52.36722,52.386333,4.895843
90,4.87259,52.36455,52.38436,4.88512
150,4.8799,52.368936,52.38291,4.928414
157,4.86742,52.3682,52.37435,4.91572
185,4.874324,52.37445,52.38637,4.90168
258,4.87801,52.35567,52.3916,4.89119
284,4.8779900000000005,52.36999,52.3916,4.90813
300,4.87919,52.40556,52.39149,4.89024
308,4.87131,52.36927,52.3832,4.9080200000000005
354,4.87374,52.38837,52.38376,4.840081
370,4.880763,52.35223,52.387881,4.90289
386,4.87091,52.37892,52.38257,4.85036
393,4.88586,52.38255,52.3885,4.85549
395,4.87329,52.342036,52.38494,4.893993
427,4.87909,52.37325,52.3925,4.9290400000000005
435,4.87126,52.36042,52.37517,4.9053
151,4.872304,52.38291,52.394495,4.8799
364,4.870873,52.364588,52.382563,4.885096
0,4.877809,52.36488,52.395224,4.88845
244,4.870314,52.34486,52.383661,4.864144
83,4.872921,52.37763,52.376511,4.87475
207,4.878991,52.370297,52.392541,4.898267
229,4.878975,52.35544,52.392556,4.8908000000000005
